Code;Nom;Type-de-retenue;Région;Département;Commune;Rivière;Date-construction;Lat;Lon;Lat. barrage;Long. Barrage;Lat. retenue;Long. Retenue;hauteur (m);Volume_Mm3;superficie_ha;Sbassin amont (km²);altitude_mNGF;Maitre-ouvrage_exploitant;Usages
239;Joux;;Auvergne-Rhône-Alpes;Rhône;Joux;La Turdine;1906;45,8933;4,39111;;;;;28;1,1;12;18,5;467;Commune de Tarare;Alimentation en eau / Loisirs
240;Kembs;"retenue ""linéaire"" - fil de l'eau";Grand-Est;Haut-Rhin;Village-Neuf;Rhin;1932;47,6189;7,57194;47,619217;7,572303;47,615934;7,573698;15,5;9;357;37000;240;EDF;Hydroélectricité, Navigation
241;Kruth Wildenstein;"Retenue ""classique""";Grand-Est;Haut-Rhin;Kruth;La Thur;1968;47,9467;6,95528;47,946631;6,954985;47,950454;6,953269;38,5;11,6;83;20,75;548,5;Conseil Départemental du Haut-Rhin;Crues, Alimentation en eau, loisirs
242;La casse du Bœuf;"Type ""classique""";PACA;Hautes Alpes;La Salle-les-Alpes;Torrent des écoutes;2000;44,9206;6,55083;44,920479;6,550331;44,919902;6,550674;18,5;0,05;0,9;?;2254,2;Serre Chevalier Ski Développement;?
243;La Valière;"Retenue ""classique""";Bretagne;Ille et Vilaine;Vitré;Valiere;1979;48,0825;-1,16361;48,082424;-1,1636;48,085061;-1,162634;17;5,7;97;66;87,3;?;Alimentation en eau / crues
244;Laa;à déterminer;Nouvelle Aquitaine;Pyrénées-Atlantiques;Vielleségure;Larus;2001;43,3421;-0,685006;;;;;19,45;1,3;21;4,6;173;Asa Irrigation Du Laa;Irrigation
245;Labarre;à déterminer;Occitanie;Ariège;Foix;Ariège;1948;42,9961;1,61361;;;;;15;0,4;17,6;?;?;Commune De Saint-sardos;Loisirs / irrigation
246;Lac Long (Gordolasque);"Type ""classique"" encaissé";PACA;Alpes Maritimes;Belvédère;Gordolasque;1971;44,1108;7,39444;44,110656;7,394698;44,114121;7,394744;17,5;4,74;19;1,75;2566;EDF;Hydroélectricité
247;Lampy;à déterminer;Occitanie;Aude;Saissac;Le Lampy;?;43,3972;2,17333;;;;;16,2;1,673;23,5;7,2;648;Voies Navigables De France;Navigation/Irrigation
248;Lanau;"retenue ""linéaire"" - vallée de rivière";Auvergne-Rhône-Alpes;Cantal;Chaudes-Aigues;la Truyère;1962;44,8917;3,00309;44,891589;3,003202;44,89244;3,004361;27,4;17,96;113;1835;669,3;EDF;Hydroélectricité
249;Lande;;Grand-Est;Vosges;La Bresse;Moseotte;1983;48,0342;6,97812;;;;;18;0,66;10,5;?;1034;?;Hydroélectricité
250;Langleret;à déterminer;Nouvelle Aquitaine;Haute-Vienne;Bujaleuf;Maulde;1962;45,7961;1,59861;45,796354;1,59855;45,796537;1,601832;16,5;1,19;17,5;434;314;EDF;Hydroélectricité
251;Lanoux;"Retenue ""classique""";Occitanie;Pyrénées-Orientales;Angoustrine-Villeneuve-des-Escaldes;Font Vive;1962;42,5783;1,8975;42,578191;1,897507;42,579408;1,898301;42,5;70,7;170;14,9;2214;EDF;Hydroélectricité
